,Line,Trap.ID,Elevation,mrat,mstoat
1,BRS,BRS100,1137,0,0.013953488
2,BRS,BRS101,1171,0,0
3,BRS,BRS50,816,0.018604651,0.055813953
4,BRS,BRS51,817,0.013953488,0.018604651
5,BRS,BRS52,819,0.023255814,0.023255814
6,BRS,BRS53,821,0.023255814,0.023255814
7,BRS,BRS54,830,0.023255814,0.027906977
8,BRS,BRS55,837,0.009302326,0.027906977
9,BRS,BRS56,835,0.009302326,0
10,BRS,BRS57,837,0.027906977,0.018604651
11,BRS,BRS58,842,0.009302326,0.013953488
12,BRS,BRS59,844,0.009302326,0.009302326
13,BRS,BRS60,849,0.004651163,0.027906977
14,BRS,BRS61,852,0.004651163,0.009302326
15,BRS,BRS62,856,0.018604651,0.009302326
16,BRS,BRS63,860,0.004651163,0.013953488
17,BRS,BRS64,864,0.009302326,0.013953488
18,BRS,BRS65,867,0.023255814,0.013953488
19,BRS,BRS66,871,0.018604651,0
20,BRS,BRS67,879,0.009302326,0.004651163
21,BRS,BRS68,879,0.004651163,0.009302326
22,BRS,BRS69,891,0.004651163,0
23,BRS,BRS70,904,0.013953488,0.018604651
24,BRS,BRS71,919,0,0.013953488
25,BRS,BRS72,941,0,0.018604651
26,BRS,BRS73,956,0.009302326,0.004651163
27,BRS,BRS74,962,0,0.018604651
28,BRS,BRS75,963,0.004651163,0.013953488
29,BRS,BRS76,963,0.004651163,0.004651163
30,BRS,BRS77,962,0,0.009302326
31,BRS,BRS78,965,0,0.013953488
32,BRS,BRS79,968,0,0.023255814
33,BRS,BRS80,974,0,0.023255814
34,BRS,BRS81,972,0,0.023255814
35,BRS,BRS82,978,0,0.018604651
36,BRS,BRS83,984,0.004651163,0
37,BRS,BRS84,993,0,0.004651163
38,BRS,BRS85,998,0,0.009302326
39,BRS,BRS87,1007,0,0.013953488
40,BRS,BRS88,1009,0,0.009302326
41,BRS,BRS89,1013,0,0.027906977
42,BRS,BRS90,1014,0.004651163,0.023255814
43,BRS,BRS91,1024,0,0.018604651
44,BRS,BRS92,1029,0,0.018604651
45,BRS,BRS93,1040,0.009302326,0.009302326
46,BRS,BRS94,1056,0,0.018604651
47,BRS,BRS95,1073,0.004651163,0.009302326
48,BRS,BRS96,1088,0.004651163,0.023255814
49,BRS,BRS97,1095,0,0.018604651
50,BRS,BRS98,1098,0.009302326,0.013953488
51,BRS,BRS99,1118,0.009302326,0.03255814
52,CHR,CHR201,1201,0.004651163,0.037209302
53,CHR,CHR202,1187,0.004651163,0.037209302
54,CHR,CHR203,1176,0,0.023255814
55,CHR,CHR204,1166,0.004651163,0.069767442
56,CHR,CHR205,1127,0,0.018604651
57,CHR,CHR206,1115,0.004651163,0.051162791
58,CHR,CHR207,1106,0,0.018604651
59,CHR,CHR208,1088,0.009302326,0.018604651
60,CHR,CHR209,1074,0.004651163,0.03255814
61,CHR,CHR210,1067,0.004651163,0.023255814
62,CHR,CHR211,1067,0.009302326,0.037209302
63,CHR,CHR212,1062,0,0.013953488
64,CHR,CHR213,1062,0.009302326,0.023255814
65,CHR,CHR214,1055,0.023255814,0.013953488
66,CHR,CHR215,1046,0,0.027906977
67,CHR,CHR216,1042,0.004651163,0.03255814
68,CHR,CHR217,1032,0.009302326,0.013953488
69,CHR,CHR218,1024,0.004651163,0.009302326
70,CHR,CHR219,1016,0.009302326,0.004651163
71,CHR,CHR220,1005,0.004651163,0.023255814
72,CHR,CHR221,1006,0.009302326,0.03255814
73,CHR,CHR222,991,0,0.041860465
74,CHR,CHR223,981,0.004651163,0.013953488
75,CHR,CHR224,959,0,0.009302326
76,CHR,CHR225,945,0.018604651,0.03255814
77,CHR,CHR226,935,0.004651163,0
78,CHR,CHR227,926,0.004651163,0.009302326
79,CHR,CHR228,920,0,0
80,CHR,CHR229,918,0,0.004651163
81,CRV,CRV401,820,0,0.004651163
82,CRV,CRV402,824,0,0.013953488
83,CRV,CRV403,830,0,0.03255814
84,CRV,CRV404,830,0,0.03255814
85,CRV,CRV405,837,0.037209302,0.069767442
86,CRV,CRV405.5,838,0,0.013953488
87,CRV,CRV406,845,0.004651163,0.023255814
88,CRV,CRV407,846,0.018604651,0.023255814
89,CRV,CRV408,850,0.027906977,0.037209302
90,CRV,CRV409,868,0.018604651,0.037209302
91,CRV,CRV410,901,0.004651163,0.03255814
92,CRV,CRV411,901,0.013953488,0.004651163
93,CRV,CRV412,918,0.018604651,0.009302326
94,CRV,CRV413,924,0.018604651,0.023255814
95,CRV,CRV414,941,0.009302326,0.027906977
96,CRV,CRV415,964,0.004651163,0.023255814
97,CRV,CRV416,970,0.004651163,0.004651163
98,CRV,CRV417,981,0,0.009302326
99,CRV,CRV418,984,0.03255814,0.03255814
100,CRV,CRV419,987,0.009302326,0.037209302
101,CRV,CRV420,1001,0,0.013953488
102,CRV,CRV421,996,0,0.004651163
103,CRV,CRV422,1006,0,0.027906977
104,CRV,CRV423,1016,0.018604651,0.009302326
105,CRV,CRV424,1021,0.023255814,0.009302326
106,CRV,CRV425,1024,0.03255814,0.004651163
107,CRV,CRV426,1028,0.009302326,0.018604651
108,CRV,CRV427,1033,0,0.013953488
109,CRV,CRV428,1048,0.009302326,0.027906977
110,CRV,CRV429,1080,0.009302326,0.009302326
111,CRV,CRV430,1103,0,0.018604651
112,CRV,CRV431,1124,0,0.037209302
113,CRV,CRV432,1157,0,0.018604651
114,CRV,CRV433,1201,0,0.004651163
115,CRV,CRV434,1215,0,0.009302326
116,CRV,CRV435,1234,0,0.004651163
117,CRV,CRV436,1240,0,0.009302326
118,CRV,CRV437,1233,0,0.004651163
119,CRV,CRV438,1243,0,0.037209302
